record,created_at
33.5*2*24.2,2024-10-14 15:01:06
35.0*2*27.1,2024-10-14 21:00:56
32.8*2*23.4,2024-10-15 03:00:56
32.7*2*20.6,2024-10-15 09:00:56
35.3*2*28.2,2024-10-15 15:01:06
34.1*2*24.2,2024-10-15 21:00:57
32.8*2*20.3,2024-10-16 03:00:55
31.7*2*19.6,2024-10-16 09:00:56
34.2*2*21.4,2024-10-16 13:06:29
31.4*2*21.0,2024-10-17 17:16:56
32.1*2*20.8,2024-10-17 19:46:22
32.2*2*20.8,2024-10-17 21:00:55
32.7*2*21.2,2024-10-18 03:00:59
33.3*2*23.1,2024-10-18 06:36:39
33.4*2*23.2,2024-10-18 09:00:54
34.4*2*24.5,2024-10-18 15:00:56
34.0*2*21.8,2024-10-18 21:00:55
32.4*2*20.7,2024-10-19 03:00:53
32.4*2*20.0,2024-10-19 09:01:03
33.0*2*27.1,2024-10-19 15:00:54
33.9*2*24.0,2024-10-19 21:00:53
32.5*2*21.4,2024-10-29 03:00:53
32.6*2*20.2,2024-10-29 09:00:57
34.9*2*28.1,2024-10-29 12:53:11
34.9*2*28.1,2024-10-29 15:00:58
34.7*2*25.8,2024-10-29 21:01:02
31.6*2*22.0,2024-10-30 03:00:55
31.5*2*21.1,2024-10-30 09:00:56
35.6*2*29.5,2024-10-30 11:51:06
35.6*2*29.2,2024-10-30 15:00:56
35.8*2*27.7,2024-10-30 21:00:53
31.4*2*22.1,2024-10-31 03:00:59
32.0*2*21.6,2024-10-31 09:00:53
34.5*2*26.1,2024-10-31 15:01:05
34.9*2*25.4,2024-10-31 21:00:54
31.9*2*21.4,2024-11-01 03:00:54
31.1*2*20.2,2024-11-01 09:00:55
32.8*2*22.6,2024-11-01 15:01:03
34.7*2*25.3,2024-11-01 21:00:53
32.8*2*21.2,2024-11-02 03:01:00
34.2*2*25.0,2024-11-02 09:03:10
34.2*2*25.2,2024-11-02 15:00:54
34.1*2*21.9,2024-11-02 21:00:59
32.4*2*21.4,2024-11-03 03:00:55
34.4*2*25.3,2024-11-03 09:20:48
34.4*2*25.5,2024-11-03 15:01:02
34.8*2*24.9,2024-11-03 21:00:58
32.2*2*21.1,2024-11-04 03:00:55
31.3*2*20.6,2024-11-04 09:27:06
33.8*2*21.2,2024-11-04 15:46:58
33.9*2*21.2,2024-11-04 21:00:55
31.7*2*19.2,2024-11-05 03:01:00
31.4*2*18.4,2024-11-05 09:00:54
34.7*2*26.9,2024-11-05 10:46:48
34.7*2*27.2,2024-11-05 15:00:55
34.5*2*25.0,2024-11-05 21:00:55
31.9*2*20.2,2024-11-06 03:00:55
30.6*2*18.9,2024-11-06 09:00:54
34.0*2*26.9,2024-11-06 15:01:02
34.1*2*24.4,2024-11-06 21:00:56
32.6*2*21.8,2024-11-07 03:00:54
32.2*2*20.9,2024-11-07 09:00:55
34.1*2*27.6,2024-11-07 15:01:05
33.3*2*22.8,2024-11-07 16:11:01
33.4*2*22.7,2024-11-07 21:01:02
31.8*2*20.5,2024-11-08 03:00:54
30.8*2*19.6,2024-11-08 09:00:54
33.3*2*27.1,2024-11-08 15:00:53
31.7*2*22.0,2024-11-08 18:46:04
31.7*2*22.0,2024-11-08 21:00:57
31.6*2*22.1,2024-11-09 03:01:01
31.3*2*21.4,2024-11-09 09:00:54
34.1*2*29.0,2024-11-09 15:00:53
35.0*2*26.8,2024-11-09 21:01:05
31.3*2*23.8,2024-11-10 03:00:58
31.1*2*22.2,2024-11-10 09:00:53
34.8*2*29.2,2024-11-10 15:00:53
32.2*2*22.1,2024-11-10 21:01:04
32.2*2*22.2,2024-11-11 03:00:55
34.9*2*26.9,2024-11-11 09:02:15
34.5*2*20.4,2024-11-11 14:57:42
34.4*2*20.0,2024-11-11 15:00:55
34.4*2*19.3,2024-11-11 21:00:54
28.8*2*19.5,2024-11-12 03:01:00
28.8*2*19.7,2024-11-12 09:00:55
34.9*2*28.7,2024-11-12 15:01:03
33.7*2*23.0,2024-11-12 16:44:06
33.7*2*23.0,2024-11-12 21:01:04
30.4*2*21.7,2024-11-13 03:00:53
29.5*2*20.2,2024-11-13 09:00:58
35.1*2*27.3,2024-11-13 15:00:53
30.8*2*20.0,2024-11-29 12:00:53
31.4*2*24.8,2024-11-29 18:01:03
33.7*2*25.2,2024-11-30 00:00:54
31.6*2*21.5,2024-11-30 06:00:54
30.3*2*19.9,2024-11-30 12:00:55
32.4*2*27.1,2024-11-30 18:01:04
33.9*2*23.3,2024-12-01 00:00:53
31.1*2*21.4,2024-12-01 06:00:58
29.6*2*19.4,2024-12-01 12:00:53
32.4*2*26.1,2024-12-01 18:01:02
33.7*2*24.3,2024-12-02 00:00:59
32.1*2*21.0,2024-12-02 06:00:56
30.5*2*20.1,2024-12-02 12:00:54
33.3*2*26.5,2024-12-02 18:01:02
33.1*2*22.7,2024-12-03 00:00:53
31.5*2*21.9,2024-12-03 06:00:56
30.6*2*20.1,2024-12-03 12:00:53
31.5*2*25.2,2024-12-03 18:01:02
32.9*2*21.9,2024-12-03 18:53:43
32.9*2*22.1,2024-12-04 00:00:58
30.6*2*20.4,2024-12-04 06:00:54
29.8*2*20.1,2024-12-04 12:00:55
31.1*2*27.0,2024-12-04 18:00:52
34.2*2*2,2024-12-05 00:01:04
31.0*2*21.8,2024-12-05 06:00:58
30.1*2*23.7,2024-12-05 09:19:34
33.8*2*25.6,2024-12-05 17:26:37
33.8*2*25.7,2024-12-05 18:00:59
32.1*2*22.9,2024-12-05 19:56:57
32.1*2*22.9,2024-12-06 00:00:56
31.1*2*21.9,2024-12-06 06:00:53
28.9*2*18.9,2024-12-06 08:35:52
29.1*2*18.8,2024-12-06 12:00:56
28.7*2*20.6,2024-12-06 18:00:54
32.3*2*24.9,2024-12-07 00:00:53
31.0*2*20.6,2024-12-07 06:00:59
28.9*2*18.9,2024-12-07 12:01:04
34.2*2*27.1,2024-12-07 17:09:06
34.3*2*27.1,2024-12-07 18:00:59
33.9*2*25.8,2024-12-08 00:00:54
30.8*2*21.2,2024-12-08 06:00:54
28.3*2*19.2,2024-12-08 12:00:55
30.6*2*27.5,2024-12-08 18:01:04
33.7*2*26.1,2024-12-09 00:00:54
30.2*2*21.2,2024-12-09 06:00:54
27.6*2*19.9,2024-12-09 12:00:54
30.1*2*25.9,2024-12-09 18:01:04
33.0*2*24.9,2024-12-10 00:00:53
29.0*2*21.1,2024-12-10 06:00:57
27.5*2*20.4,2024-12-10 12:00:53
30.2*2*27.7,2024-12-10 18:01:04
33.8*2*26.1,2024-12-11 00:00:54
29.8*2*21.9,2024-12-11 06:00:56
28.1*2*20.4,2024-12-11 12:00:53
30.9*2*28.5,2024-12-11 18:01:02
33.6*2*25.7,2024-12-12 00:00:53
29.8*2*22.0,2024-12-12 06:00:58
28.7*2*20.6,2024-12-12 12:00:56
32.4*2*27.2,2024-12-12 18:01:04
33.2*2*25.2,2024-12-13 00:00:56
29.4*2*22.0,2024-12-13 06:00:54
28.7*2*20.6,2024-12-13 12:00:55
